Iteration, Rt, delta p, delta n, nNT, nNe, nPT, nT, nI, nonmut, mut , GF , NF 
0,2.3251407699364424,0.1930599485139443,0.7371379852350599,0,0,25,25,0,7,18,1,0
1,2.838114614462194,0.22050205358872,0.8419169318842038,10,0,25,35,0,8,17,0.7142857142857143,0
2,3.4350408985563847,0.2504266977146929,0.9561746640015549,10,9,26,45,0,8,18,0.5777777777777777,0.2
3,4.207463869450907,0.2866858658899301,1.0946187606706421,16,13,30,59,0,12,18,0.5084745762711864,0.22033898305084745
4,4.704060956705088,0.30882182067326375,1.1791378607524616,15,21,36,72,0,18,18,0.5,0.2916666666666667
5,5.14834431453631,0.3279727348814668,1.2522595331837822,11,33,43,87,0,23,20,0.4942528735632184,0.3793103448275862
6,5.460293612337527,0.34109080816471227,1.3023467220834468,17,35,54,106,0,29,25,0.5094339622641509,0.330188679245283
7,6.154107510431465,0.36940497309243375,1.410455351807474,30,41,59,130,0,35,24,0.45384615384615384,0.3153846153846154
8,6.88074485413558,0.39793883224137966,1.5194028140125404,32,55,67,154,0,41,26,0.43506493506493504,0.35714285714285715
9,7.488301890039737,0.42103181562183417,1.6075760232833667,47,64,68,179,0,48,20,0.37988826815642457,0.3575418994413408
10,8.012820675248049,0.44046996595491167,1.6817944154642077,35,90,82,207,0,61,21,0.3961352657004831,0.43478260869565216
11,8.626127883302754,0.4626685153435925,1.7665525131300803,49,100,91,240,0,68,23,0.37916666666666665,0.4166666666666667
12,9.504619572939466,0.49357048065847897,1.8845418352414647,64,117,93,274,0,74,19,0.33941605839416056,0.42700729927007297
13,10.123154450073004,0.5147581844764747,1.965440340728358,65,147,94,306,0,77,17,0.30718954248366015,0.4803921568627451
14,10.780881645797749,0.536820226168886,2.0496772271902928,73,167,105,345,0,87,18,0.30434782608695654,0.48405797101449277
15,11.501984780494304,0.5604986155688899,2.1400856230812155,83,189,116,388,0,99,17,0.29896907216494845,0.48711340206185566
16,12.157200292368852,0.5815875035952291,2.220606831909056,93,212,125,430,0,111,14,0.29069767441860467,0.4930232558139535
17,12.754284379747334,0.6004775142388153,2.292732327093659,98,243,138,479,0,123,15,0.2881002087682672,0.5073068893528184
18,13.28421479532107,0.6169973204531614,2.355807950821162,111,263,160,534,0,146,14,0.299625468164794,0.49250936329588013
19,13.976841524263195,0.6382615939684607,2.4369988133341236,119,293,183,595,0,169,14,0.30756302521008405,0.492436974789916
20,14.62154243988533,0.6577408440122051,2.511374131682966,137,322,202,661,0,187,15,0.30559757942511345,0.48714069591527986
21,15.456067136083632,0.6825356634911344,2.606045260602513,147,365,214,726,0,204,10,0.29476584022038566,0.5027548209366391
