Iteration, Rt, Rn, delta p, delta n, nNT, nNe, nPT, nT, nI, nonmut, mut , GF , NF 
0,2.325140769936442,1.3949428361874383,0.1930599485139443,0.7371379852350599,0,0,25,25,0,6,19,1,0
1,2.73376493352434,1.6975496778581107,0.2150635436288402,0.8211517120373899,11,0,22,33,0,8,14,0.6666666666666666,0
2,3.3276622014182595,2.146339113300664,0.24518026357157624,0.9361428245460182,10,9,24,43,0,12,12,0.5581395348837209,0.20930232558139536
3,3.8444034979003083,2.543749304669146,0.2699470967083546,1.0307070965228085,13,12,32,57,0,17,15,0.5614035087719298,0.21052631578947367
4,4.360813509393148,2.946146542911444,0.2936101251188443,1.12105684136286,11,21,43,75,0,26,17,0.5733333333333334,0.28
5,4.938872011988625,3.4017994003605114,0.31901507033791043,1.2180575412902035,19,25,49,93,0,32,17,0.5268817204301075,0.26881720430107525
6,5.61754105790783,3.942700870508954,0.34760834078089864,1.3272318466179767,23,37,55,115,0,38,17,0.4782608695652174,0.3217391304347826
7,6.28344085843477,4.478730307290225,0.37456256721867925,1.430147983925866,37,44,52,133,0,43,9,0.39097744360902253,0.3308270676691729
8,6.92089002808007,4.9960978939229905,0.399485159919394,1.5253069742376864,27,67,68,162,0,55,13,0.41975308641975306,0.41358024691358025
9,7.627856039799089,5.574122030575185,0.4262466811596783,1.6274873280642264,54,67,67,188,0,57,10,0.35638297872340424,0.35638297872340424
10,8.317112693285342,6.141453195551676,0.4515519712277415,1.724107526505922,53,92,66,211,0,59,7,0.3127962085308057,0.43601895734597157
11,8.882782128059105,6.609559992546315,0.471800820578126,1.8014213149346623,48,115,74,237,0,66,8,0.31223628691983124,0.48523206751054854
12,9.550301419422123,7.164575281397864,0.4951507078918266,1.890575430132428,57,128,84,269,0,77,7,0.31226765799256506,0.4758364312267658
13,10.178772389986651,7.6894978053798315,0.5166418949183965,1.9726326896884236,59,147,98,304,0,91,7,0.3223684210526316,0.48355263157894735
14,10.783958836448788,8.196969229945324,0.5369223711610954,2.0500672353423646,70,166,109,345,0,103,6,0.3159420289855073,0.4811594202898551
15,11.421601058051326,8.733613871746241,0.5578841330067145,2.130103053298365,81,186,125,392,0,117,8,0.31887755102040816,0.4744897959183674
16,12.21906749080052,9.407374411023413,0.5835589410858151,2.2281341386912925,96,205,141,442,0,133,8,0.3190045248868778,0.4638009049773756
17,13.02924399812722,10.09460051874209,0.6090769485516297,2.3255665308334956,111,236,149,496,0,142,7,0.3004032258064516,0.47580645161290325
18,13.785361183722431,10.738252329355984,0.6324188188307738,2.4146900355356817,115,276,165,556,0,160,5,0.29676258992805754,0.49640287769784175
19,14.656946404131947,11.482717786317792,0.65880216596143,2.5154264518527327,141,304,165,610,0,163,2,0.27049180327868855,0.49836065573770494
20,15.281087986359287,12.017374291462767,0.6773745404502206,2.5863391544462964,128,358,189,675,0,185,4,0.28,0.5303703703703704
21,15.978518501091454,12.616241090269439,0.6978311607366453,2.6644462500853745,170,373,199,742,0,197,2,0.26819407008086255,0.5026954177897575
22,16.66472089364596,13.206856965532964,0.7176698718725059,2.7401940562404765,183,418,212,813,0,212,0,0.2607626076260763,0.5141451414514145
23,17.302204895298402,13.756710226116606,0.7358573841698057,2.8096372850119855,182,465,239,886,0,239,0,0.2697516930022573,0.5248306997742663
24,18.194895118230946,14.52847488757579,0.7609551422114474,2.905465088443707,215,500,247,962,0,247,0,0.25675675675675674,0.5197505197505198
25,18.883700950495733,15.125321608134836,0.7800409955843407,2.9783383467765736,215,565,271,1051,0,271,0,0.25784966698382494,0.5375832540437678
26,19.42473270605405,15.59490499495822,0.7948699023029087,3.0349578087929237,244,609,289,1142,0,289,0,0.2530647985989492,0.5332749562171629
27,19.830074008827975,15.947151176444128,0.8058896444570188,3.077033187926798,261,645,337,1243,0,337,0,0.2711182622687047,0.5189058728881738
28,20.49816548060657,16.528512595120528,0.8238902215159697,3.1457626639700664,278,674,400,1352,0,400,0,0.2958579881656805,0.4985207100591716
29,21.173101153375693,17.116781380750986,0.8418776886579536,3.21444208396673,292,740,425,1457,0,425,0,0.2916952642415923,0.5078929306794784
30,21.680633180684147,17.55974803215836,0.8552780496940325,3.2656070988317594,318,806,447,1571,0,447,0,0.28453214513049013,0.513049013367282
31,22.445704626679625,18.228435026878437,0.8752823697700601,3.3419872300311373,332,857,498,1687,0,498,0,0.2951985773562537,0.5080023710729105
32,23.150429526752287,18.845342797469197,0.8935085664549762,3.4115781628280897,363,929,524,1816,0,524,0,0.28854625550660795,0.5115638766519823
33,24.15474815677528,19.72603507063802,0.919166866934146,3.5095462192031035,395,1004,543,1942,0,543,0,0.2796086508753862,0.5169927909371782
34,24.831143200341707,20.32013434896918,0.9362471200961826,3.5747617312763325,403,1120,551,2074,0,551,0,0.2656702025072324,0.5400192864030858
35,25.84335405834246,21.210572875310007,0.9615206228935282,3.6712605601389248,424,1206,575,2205,0,575,0,0.26077097505668934,0.5469387755102041
36,26.867803701792454,22.113386221111433,0.9867658922168151,3.7676515884642012,457,1321,577,2355,0,577,0,0.24501061571125266,0.5609341825902335
37,27.517877980680378,22.68707680502643,1.0026191119281733,3.8281820637257558,474,1448,584,2506,0,584,0,0.23304070231444532,0.5778132482043097
38,28.421009513918804,23.485080905306695,1.024438013108178,3.9114905955039543,522,1528,609,2659,0,609,0,0.22903347122978562,0.5746521248589695
39,29.518220472760454,24.45605911391443,1.0506372631567158,4.011524095689274,538,1657,621,2816,0,621,0,0.22052556818181818,0.5884232954545454
40,30.54115173127481,25.36270543522528,1.0747718727649935,4.103674423284519,583,1804,593,2980,0,593,0,0.19899328859060403,0.6053691275167785
0,2.3251407699364424,1.3949428361874385,0.19305994851394429,0.7371379852350599,0,0,25,25,0,4,21,1,0
1,2.744794055666126,1.7057936608050954,0.21564159138625152,0.8233588034747784,10,0,22,32,0,6,16,0.6875,0
2,3.3643356740375774,2.174349040050334,0.2469783579973524,0.9430082759898909,10,9,20,39,0,8,12,0.5128205128205128,0.23076923076923078
3,3.691829505706922,2.4258200174644005,0.2627566862390142,1.003252802003509,9,13,29,51,0,14,15,0.5686274509803921,0.2549019607843137
4,4.239264671458476,2.8510086767065967,0.28812860268435253,1.1001273920675279,7,21,40,68,0,23,17,0.5882352941176471,0.3088235294117647
5,4.845036459374881,3.327494984634799,0.3149614381536021,1.2025800365864805,14,25,49,88,0,32,17,0.5568181818181818,0.2840909090909091
6,5.507585646314865,3.8546724667437533,0.34305745236381574,1.3098557272072966,23,32,55,110,0,38,17,0.5,0.2909090909090909
7,6.208989962398984,4.418563417441748,0.37159796216093616,1.4188285827963019,31,42,59,132,0,44,15,0.44696969696969696,0.3181818181818182
8,6.789629300032137,4.889251660079912,0.3944180007448011,1.5059596392074224,35,56,69,160,0,59,10,0.43125,0.35
9,7.514250673862487,5.480959124987855,0.4220039063702069,1.611287642504426,43,64,86,193,0,74,12,0.44559585492227977,0.3316062176165803
10,8.1580935583951,6.01025488789148,0.4457778372743373,1.7020608332292877,46,90,93,229,0,77,16,0.40611353711790393,0.3930131004366812
11,8.997196438423975,6.704495873208506,0.47584351353528703,1.8168570516801872,55,109,99,263,0,87,12,0.376425855513308,0.4144486692015209
12,9.990756207368523,7.532230367135408,0.5102600800483831,1.9482657601847353,71,130,98,299,0,92,6,0.3277591973244147,0.43478260869565216
13,10.433780927955427,7.903102213958009,0.5252352047919161,2.0054435092054983,62,169,109,340,0,97,12,0.3205882352941177,0.4970588235294118
14,11.15240690470003,8.50682258808659,0.5490835374103364,2.096500779203103,75,182,130,387,0,122,8,0.3359173126614987,0.4702842377260982
15,11.75654310654391,9.016258759289805,0.568738260750852,2.1715460865032523,84,208,140,432,0,128,12,0.32407407407407407,0.48148148148148145
