Iteration, Rt, Rn, delta p, delta n, nNT, nNe, nPT, nT, nI, nonmut, mut , GF , NF 
0,1.2071067811865475,0.6062471926484483,0.12470670705507725,0.4761528814830222,0,0,9,9,0,0,9,1,0
1,1.661935258804239,0.9183137595625736,0.1543365375784589,0.5892849616632067,3,0,9,12,0,0,9,0.75,0
2,2.169558942445492,1.2813328940608875,0.18434880249491797,0.7038772458896868,6,1,8,15,0,0,8,0.5333333333333333,0.06666666666666667
3,2.3960998621064786,1.447071600488111,0.19696812976984987,0.7520601318485176,5,4,7,16,0,0,7,0.4375,0.25
4,2.8825911256163756,1.8091013811428494,0.22279975828695842,0.8506899861865684,0,9,11,20,0,0,11,0.55,0.45
5,3.6965760968288186,2.429481700693739,0.2629818558016203,1.0041125403334594,5,9,10,24,0,0,10,0.4166666666666667,0.375
6,4.166288288592362,2.7940103497983455,0.28481240239121103,1.0874655364028056,3,14,10,27,0,0,10,0.37037037037037035,0.5185185185185185
7,4.293408748056923,2.893357195552472,0.2905767373122446,1.1094748151922067,4,14,14,32,0,0,14,0.4375,0.4375
8,4.630701606980851,3.158252134329469,0.30560272073896605,1.1668467519124157,6,15,15,36,0,0,15,0.4166666666666667,0.4166666666666667
9,4.96539048511912,3.4228207439181713,0.32015598402283846,1.2224137571781104,10,16,13,39,0,0,13,0.3333333333333333,0.41025641025641024
10,5.363129853998136,3.7392468195933746,0.3370323278953279,1.2868507065094337,9,20,14,43,0,0,14,0.32558139534883723,0.46511627906976744
11,5.480315373012266,3.83286286494422,0.34192410544808494,1.3055284026199607,9,23,15,47,0,0,15,0.3191489361702128,0.48936170212765956
12,5.840025537607575,4.121250515398286,0.35672689140192815,1.362048130807362,12,23,18,53,0,0,18,0.33962264150943394,0.4339622641509434
13,6.025679012777867,4.270667923234575,0.36424758462219275,1.3907635049210996,15,24,19,58,0,0,19,0.3275862068965517,0.41379310344827586
14,6.601171519328284,4.736124088155181,0.3870853159038512,1.4779621152692495,14,28,25,67,0,0,25,0.373134328358209,0.417910447761194
15,7.142639130639549,5.176949219149307,0.4079733778564655,1.5577165336337773,17,33,23,73,0,0,23,0.3150684931506849,0.4520547945205479
16,7.760911093181676,5.683363371152174,0.4311891498551798,1.646358572174323,16,40,27,83,0,0,27,0.3253012048192771,0.4819277108433735
17,8.141331116347773,5.9964355649684125,0.4451670012296794,1.6997285501496848,19,45,32,96,0,0,32,0.3333333333333333,0.46875
18,8.797617853461187,6.53894881565709,0.46878036633669945,1.7898886714673974,22,49,35,106,0,0,35,0.330188679245283,0.46226415094339623
