Iteration, Rt, Rn, delta p, delta n, nNT, nNe, nPT, nT, nI, nonmut, mut , GF , NF 
0,1.2071067811865475,0.606247192648448,0.12470670705507725,0.4761528814830222,0,0,9,9,0,1,8,1,0
1,1.6121090253260115,0.8834257375389042,0.15123615406902227,0.5774471337180851,0,0,14,14,0,2,12,1,0
2,2.194119698641498,1.2992027209347232,0.1857374859391421,0.7091794917676336,0,0,23,23,0,2,21,1,0
3,2.6799845592987497,1.6574043164891943,0.2122336353000965,0.8103466075094594,0,0,33,33,0,2,31,1,0
4,3.365777494585887,2.175450897562751,0.2470489163632922,0.9432776806598429,0,0,48,48,0,2,46,1,0
5,4.029415471080395,2.6873596833713673,0.27853988046791167,1.0635159072411178,0,0,66,66,0,2,64,1,0
6,4.547388436147653,3.092653378665862,0.30192614400565476,1.1528089134761363,0,0,83,83,0,2,81,1,0
7,5.336904795285546,3.7183198128028843,0.33593273221338293,1.2826522502692803,0,0,110,110,0,2,108,1,0
8,5.94189697447563,4.203191795017101,0.36086333913290236,1.3778418403256272,0,0,136,136,0,2,134,1,0
9,6.686702002111662,4.805579050688273,0.39042174463504287,1.4907012067883456,0,0,168,168,0,2,166,1,0
10,7.31645914725159,5.319006445830967,0.4145656550118272,1.5828870464087943,0,0,199,199,0,2,197,1,0
11,8.015044096706,5.892387138593659,0.44055144413652264,1.6821055139758143,0,0,229,229,0,2,227,1,0
12,8.450235397411918,6.251421831503422,0.45635753254704603,1.7424560333614483,0,0,263,263,0,2,261,1,0
13,9.271157075561844,6.932148419527967,0.48545462672401346,1.8535540293098687,0,0,303,303,0,2,301,1,0
14,9.73094428939273,7.3152283749682585,0.5013750011069652,1.9143409133175024,0,0,339,339,0,2,337,1,0
15,10.237835340041933,7.738940598607958,0.5186385312410137,1.9802562101929615,0,0,378,378,0,2,376,1,0
16,10.95921908816084,8.344275792998362,0.5427240801280618,2.072219215034418,0,0,421,421,0,2,419,1,0
17,11.570376407883298,8.859097505123202,0.5627182628370011,2.148560639923096,0,0,467,467,0,2,465,1,0
18,12.051688856655575,9.265731421757945,0.5782175808278125,2.2077398540698296,0,0,505,505,0,2,503,1,0
19,12.584068978620241,9.716658092427169,0.5951230141155454,2.2722878720775364,0,0,552,552,0,2,550,1,0
20,13.105044640800331,10.159030190734102,0.611436961334501,2.33457748873173,0,0,594,594,0,2,592,1,0
21,13.7261836198761,10.687801401246073,0.630607630281701,2.407774588348313,0,0,645,645,0,2,643,1,0
22,14.290969023738928,11.169802155275109,0.6477893500585277,2.473377518405288,0,0,698,698,0,2,696,1,0
23,14.80350959856721,11.608155472198382,0.663186705472775,2.53216742089605,0,0,753,753,0,2,751,1,0
24,15.301377696870176,12.03477567531826,0.6779740044730409,2.588628017078884,0,0,807,807,0,2,805,1,0
25,15.908726858440975,12.556247186229333,0.6957976678175123,2.656682004394136,0,0,861,861,0,2,859,1,0
