Iteration, Rt, Rn, delta p, delta n, nNT, nNe, nPT, nT, nI, nonmut, mut , GF , NF 
0,1.2071067811865475,0.6062471926484481,0.12470670705507725,0.4761528814830222,0,0,9,9,0,2,7,1,0
1,1.5561317467131672,0.8444156665442433,0.14771465814826717,0.5640014220206564,4,0,7,11,0,4,3,0.6363636363636364,0
2,1.93730918780702,1.1136608461352409,0.1709458822337655,0.6527024594380137,4,1,8,13,0,5,3,0.6153846153846154,0.07692307692307693
3,2.597060945745574,1.5956846718815234,0.20783281155668973,0.7935434623073608,3,5,10,18,0,10,0,0.5555555555555556,0.2777777777777778
4,3.291209455803199,2.1185293676208095,0.24338643339634503,0.9292936547860446,0,8,19,27,0,19,0,0.7037037037037037,0.2962962962962963
5,3.784332892790958,2.4972631187453143,0.26712768895286976,1.0199420850927752,4,8,25,37,0,25,0,0.6756756756756757,0.21621621621621623
6,4.520186893897256,3.0712589194483826,0.3007209003573133,1.1482070740915598,9,12,31,52,0,31,0,0.5961538461538461,0.23076923076923078
7,5.123756855258181,3.5485598485500653,0.3269276806375336,1.2482693260705828,12,18,40,70,0,40,0,0.5714285714285714,0.2571428571428571
8,5.971246627960243,4.226820663099062,0.3620506719523208,1.382375292908861,13,24,57,94,0,57,0,0.6063829787234043,0.2553191489361702
9,6.445086671039699,4.609555724848681,0.38095925298304156,1.4545716932079769,20,33,70,123,0,70,0,0.5691056910569106,0.2682926829268293
10,7.109381602661687,5.149798194538354,0.4067059903652206,1.552877417758115,27,42,88,157,0,88,0,0.5605095541401274,0.267515923566879
11,7.92767921672704,5.820475216587451,0.4373442264440653,1.669859773695522,34,58,106,198,0,106,0,0.5353535353535354,0.29292929292929293
12,8.454189625684535,6.254690167024449,0.45649988764643323,1.7429995710136548,44,74,128,246,0,128,0,0.5203252032520326,0.3008130081300813
13,9.342895605382436,6.991836573864188,0.4879556480509576,1.8631033834672919,57,88,153,298,0,153,0,0.5134228187919463,0.2953020134228188
14,10.256817623625876,7.754834984489822,0.5192794156697468,1.9827032234663058,78,113,170,361,0,170,0,0.4709141274238227,0.31301939058171746
15,11.419618957453693,8.731942761706033,0.5578195877966846,2.1298566079509764,90,155,181,426,0,181,0,0.42488262910798125,0.36384976525821594
16,12.10577518763334,9.311488644394585,0.5799462636910631,2.214340279547696,98,210,187,495,0,187,0,0.37777777777777777,0.42424242424242425
17,13.015263515092728,10.082719675260194,0.6086411743048674,2.323902665527675,111,247,213,571,0,213,0,0.37302977232924694,0.43257443082311736
18,13.895374713811677,10.832075791410118,0.635779021630511,2.427519900771043,128,293,232,653,0,232,0,0.3552833078101072,0.44869831546707506
19,14.813428600694845,11.616647281864477,0.6634829152289445,2.5332984036014237,141,343,256,740,0,256,0,0.34594594594594597,0.4635135135135135
20,15.867023413817346,12.52040514108792,0.6945811509438446,2.652037121785588,159,397,283,839,0,283,0,0.33730631704410013,0.4731823599523242
21,16.771684962634932,13.299040402973022,0.7207375501185078,2.7519070095433937,185,463,286,934,0,286,0,0.30620985010706636,0.49571734475374735
22,17.69994617526904,14.10032194337749,0.7470918217133437,2.8525324101782217,192,532,319,1043,0,319,0,0.3058485139022052,0.5100671140939598
23,18.610666027299402,14.888602224953555,0.7725038080340406,2.9495599943117923,208,601,340,1149,0,340,0,0.2959094865100087,0.5230635335073978
24,19.734054100887835,15.863675831901707,0.803286055827308,3.0670922131588125,229,676,366,1271,0,366,0,0.2879622344610543,0.5318646734854445
25,20.60875287155134,16.624835302335093,0.8268508162524293,3.157066752963821,257,764,377,1398,0,377,0,0.2696709585121602,0.5464949928469242
26,21.582401143776778,17.47397286525862,0.8526926615792432,3.2557356169389284,280,845,407,1532,0,407,0,0.26566579634464754,0.5515665796344648
27,22.616669852909585,18.378012516192328,0.8797213340356591,3.358936002681606,317,936,416,1669,0,416,0,0.24925104853205513,0.560814859197124
28,23.5525324006707,19.197738464211408,0.9038251566236284,3.450968779835671,344,1034,436,1814,0,436,0,0.24035281146637266,0.5700110253583242
29,24.600744415696816,20.117682858103613,0.9304467383683998,3.5526148192247993,370,1132,464,1966,0,464,0,0.23601220752797558,0.5757884028484231
30,25.59230608580209,20.989576252850664,0.9552835502351951,3.6474462827161984,382,1251,497,2130,0,497,0,0.23333333333333334,0.5873239436619718
31,26.49784142873673,21.787169409939512,0.9776866454107485,3.732985373386495,429,1347,520,2296,0,520,0,0.2264808362369338,0.5866724738675958
32,27.532861593135582,22.70030698078851,1.00298303275128,3.8295715795957994,460,1464,543,2467,0,543,0,0.2201053911633563,0.5934333198216457
33,28.55009993150662,23.599236368951566,1.0275377205302945,3.9233258420247594,482,1598,571,2651,0,571,0,0.2153904187099208,0.6027913994718974
34,29.51333673728719,24.45173374405092,1.0505213759546972,4.011081617281572,509,1731,597,2837,0,597,0,0.2104335565738456,0.6101515685583363
35,30.505488018270242,25.33107384661335,1.073935016758978,4.100479154897918,551,1867,611,3029,0,611,0,0.2017167381974249,0.6163750412677451
36,31.64079704314352,26.33878374173466,1.1004178550093886,4.201595446399484,577,2009,640,3226,0,640,0,0.19838809671419716,0.6227526348419095
37,32.58727882107658,27.180051838559955,1.122254656748725,4.284972325767858,607,2168,662,3437,0,662,0,0.19260983415769567,0.6307826592958976
38,33.50921294659741,28.000476167809182,1.1433227276730236,4.365414051115176,645,2305,701,3651,0,701,0,0.1920021911804985,0.631333881128458
39,34.45119802695624,28.83970076234281,1.1646503756744877,4.446846888938956,692,2440,723,3855,0,723,0,0.18754863813229572,0.6329442282749675
40,35.33144844732947,29.624768744838736,1.184405221271663,4.522274481219076,733,2589,733,4055,0,733,0,0.1807644882860666,0.6384710234278669
41,36.148414940707475,30.354100730371258,1.2025935153528062,4.591720694983438,780,2748,699,4227,0,699,0,0.1653655074520937,0.6501064584811923
42,36.79737324003685,30.933916191002083,1.2169439158374036,4.6465131331973595,821,2881,675,4377,0,675,0,0.15421521590130227,0.6582133881654101
43,37.15609378629792,31.254591633586827,1.2248400694305994,4.676662083280473,884,2997,608,4489,0,608,0,0.13544219202494986,0.6676319893071954
44,37.53110056972289,31.589956696492905,1.233067596330752,4.7080762768992335,901,3069,611,4581,0,611,0,0.13337699192316088,0.6699410609037328
45,37.829075891390616,31.856527309144333,1.2395855548058274,4.732963027440432,960,3133,557,4650,0,557,0,0.11978494623655914,0.673763440860215
46,37.99382188169375,32.00394552359046,1.2431818856440815,4.746694472459222,988,3181,519,4688,0,519,0,0.11070819112627986,0.6785409556313993
47,38.07791649058931,32.07920482456198,1.2450156287981302,4.753696037229223,1017,3209,484,4710,0,484,0,0.10276008492569003,0.681316348195329
48,38.13825194082303,32.13320520384598,1.246330454844299,4.75871628213278,1015,3241,466,4722,0,466,0,0.0986869970351546,0.6863617111393477
49,38.151672560210834,32.14521714617604,1.2466228217808044,4.7598325922539795,1040,3241,444,4725,0,444,0,0.09396825396825396,0.6859259259259259
50,38.15167256021085,32.145217146176094,1.2466228217808049,4.75983259225398,1032,3249,444,4725,0,444,0,0.09396825396825396,0.6876190476190476
51,38.151672560210834,32.14521714617605,1.2466228217808044,4.7598325922539795,1032,3249,444,4725,0,444,0,0.09396825396825396,0.6876190476190476
52,38.15167256021085,32.14521714617604,1.2466228217808042,4.7598325922539795,1032,3249,444,4725,0,444,0,0.09396825396825396,0.6876190476190476
53,38.15167256021082,32.14521714617605,1.2466228217808042,4.7598325922539795,1032,3249,444,4725,0,444,0,0.09396825396825396,0.6876190476190476
54,38.15167256021084,32.14521714617608,1.2466228217808042,4.75983259225398,1032,3249,444,4725,0,444,0,0.09396825396825396,0.6876190476190476
55,38.15167256021082,32.14521714617608,1.2466228217808042,4.7598325922539795,1032,3249,444,4725,0,444,0,0.09396825396825396,0.6876190476190476
56,38.15167256021082,32.14521714617604,1.2466228217808042,4.759832592253978,1032,3249,444,4725,0,444,0,0.09396825396825396,0.6876190476190476
57,38.15167256021084,32.14521714617604,1.2466228217808044,4.7598325922539795,1032,3249,444,4725,0,444,0,0.09396825396825396,0.6876190476190476
58,38.151672560210855,32.14521714617607,1.2466228217808035,4.7598325922539795,1032,3249,444,4725,0,444,0,0.09396825396825396,0.6876190476190476
59,38.15167256021083,32.14521714617602,1.2466228217808044,4.759832592253982,1032,3249,444,4725,0,444,0,0.09396825396825396,0.6876190476190476
60,38.15167256021082,32.14521714617605,1.2466228217808042,4.7598325922539795,1032,3249,444,4725,0,444,0,0.09396825396825396,0.6876190476190476
61,38.151672560210805,32.145217146176066,1.2466228217808044,4.759832592253978,1032,3249,444,4725,0,444,0,0.09396825396825396,0.6876190476190476
62,38.15167256021085,32.14521714617606,1.2466228217808042,4.7598325922539795,1032,3249,444,4725,0,444,0,0.09396825396825396,0.6876190476190476
63,38.1516725602108,32.145217146176044,1.2466228217808042,4.7598325922539795,1032,3249,444,4725,0,444,0,0.09396825396825396,0.6876190476190476
64,38.15167256021082,32.14521714617605,1.2466228217808042,4.75983259225398,1032,3249,444,4725,0,444,0,0.09396825396825396,0.6876190476190476
65,38.15167256021084,32.14521714617604,1.2466228217808044,4.7598325922539795,1032,3249,444,4725,0,444,0,0.09396825396825396,0.6876190476190476
66,38.15167256021084,32.14521714617605,1.2466228217808037,4.7598325922539795,1032,3249,444,4725,0,444,0,0.09396825396825396,0.6876190476190476
67,38.15167256021086,32.14521714617605,1.2466228217808042,4.759832592253976,1032,3249,444,4725,0,444,0,0.09396825396825396,0.6876190476190476
