Iteration, Rt, delta p, delta n, nNT, nNe, nPT, nT, nI, nonmut, mut , GF , NF 
0,2.325140769936443,0.1930599485139443,0.7371379852350599,0,0,25,25,51,25,0,1,0
1,2.325140769936443,0.1930599485139443,0.73713798523506,0,0,25,25,51,25,0,1,0
2,2.3251407699364424,0.19305994851394426,0.7371379852350599,0,0,25,25,49,25,0,1,0
3,2.772529220543597,0.2170918101249617,0.8288960022953082,0,0,37,37,46,37,0,1,0
4,2.772529220543597,0.21709181012496168,0.8288960022953082,0,0,37,37,46,37,0,1,0
5,2.772529220543597,0.21709181012496168,0.8288960022953084,0,0,37,37,45,37,0,1,0
6,3.4021513888344996,0.24882562777388575,0.9500614878639273,0,0,51,51,44,51,0,1,0
7,3.8165439147406786,0.26864134990739746,1.0257215178282448,0,0,62,62,44,62,0,1,0
8,4.507323978796438,0.300150129812148,1.1460277683736562,0,0,82,82,44,82,0,1,0
9,5.084331993835907,0.32524848769802117,1.2418578621197172,0,0,106,106,44,106,0,1,0
10,5.0843319938359075,0.3252484876980212,1.2418578621197172,0,0,106,106,44,106,0,1,0
11,5.0843319938359075,0.32524848769802117,1.2418578621197172,0,0,106,106,44,106,0,1,0
12,5.084331993835907,0.32524848769802117,1.2418578621197172,0,0,106,106,43,106,0,1,0
13,5.084331993835907,0.32524848769802117,1.2418578621197172,0,0,106,106,43,106,0,1,0
14,5.084331993835908,0.32524848769802117,1.2418578621197172,0,0,106,106,43,106,0,1,0
15,5.0843319938359075,0.32524848769802117,1.2418578621197172,0,0,106,106,42,106,0,1,0
16,5.084331993835907,0.32524848769802117,1.2418578621197172,0,0,106,106,42,106,0,1,0
17,5.084331993835907,0.32524848769802117,1.2418578621197172,0,0,106,106,42,106,0,1,0
18,5.0843319938359075,0.32524848769802117,1.2418578621197172,0,0,106,106,42,106,0,1,0
19,5.75844510503128,0.3533969843523245,1.3493339402543294,0,0,131,131,42,131,0,1,0
20,6.271442246194051,0.37408558200680286,1.4283267676623381,0,0,155,155,42,155,0,1,0
21,6.8691435454418475,0.3974914088287008,1.5176944700732211,0,0,182,182,42,182,0,1,0
22,6.869143545441846,0.39749140882870093,1.5176944700732211,0,0,182,182,42,182,0,1,0
