Iteration, Rt, Rn, delta p, delta n, nNT, nNe, nPT, nT, nI, nonmut, mut , GF , NF 
0,1.2071067811865475,0.6062471926484481,0.12470670705507725,0.4761528814830222,0,0,9,9,0,1,8,1,0
1,1.6411237755614951,0.9037232754595932,0.1530453868136023,0.5843551132882997,4,0,8,12,0,2,6,0.6666666666666666,0
2,2.2879947950560755,1.3677305310352903,0.19099824347601216,0.7292660205447739,7,1,6,14,0,1,5,0.42857142857142855,0.07142857142857142
3,2.7987439787637385,1.7461731789098416,0.2184580905357144,0.8341127093181824,5,5,6,16,0,2,4,0.375,0.3125
4,3.0190814944326503,1.9119672793756883,0.22977842199295428,0.8773357930640072,2,9,8,19,0,4,4,0.42105263157894735,0.47368421052631576
5,3.21368748892469,2.0594948567901312,0.2395494142166067,0.9146432179179528,3,9,11,23,0,7,4,0.4782608695652174,0.391304347826087
6,3.5953967009230143,2.351530272051935,0.25816095693550706,0.9857054719355725,2,10,17,29,0,11,6,0.5862068965517241,0.3448275862068966
7,3.884535687915035,2.574845380581836,0.2718225166163244,1.037867790716875,2,12,26,40,0,16,10,0.65,0.3
8,4.591654890610629,3.1274943593372195,0.3038823744152358,1.1602781568581735,8,13,32,53,0,24,8,0.6037735849056604,0.24528301886792453
9,5.240599521277914,3.641545319787274,0.331879173894284,1.267175027596357,16,17,35,68,0,26,9,0.5147058823529411,0.25
10,5.885343937620336,4.157688618648669,0.35856997186204376,1.3690853471096218,10,29,48,87,0,36,12,0.5517241379310345,0.3333333333333333
11,6.920294064461229,4.995612428861879,0.3994622262564689,1.525219409342881,22,35,54,111,0,46,8,0.4864864864864865,0.3153153153153153
12,7.633389459555113,5.578662353559554,0.4264527955839843,1.6282743104115762,32,45,58,135,0,55,3,0.42962962962962964,0.3333333333333333
13,8.443395915014518,6.245768965051254,0.45611125376596057,1.741515696197304,31,62,67,160,0,66,1,0.41875,0.3875
14,9.237107139557912,6.903828938717197,0.484265286966941,1.8490129138737739,31,76,87,194,0,85,2,0.4484536082474227,0.3917525773195876
15,9.82149650525273,7.390817290659152,0.5044805917081019,1.9261986228854795,44,90,98,232,0,98,0,0.4224137931034483,0.3879310344827586
16,10.686366595422703,8.11500838216373,0.5336781197329952,2.0376800935259816,51,108,117,276,0,117,0,0.42391304347826086,0.391304347826087
17,11.58845279262809,8.87435073953339,0.5633041996989003,2.150797853395801,60,131,137,328,0,137,0,0.4176829268292683,0.39939024390243905
18,12.024316517071902,9.242579075454483,0.5773417331658784,2.204395708451536,73,152,158,383,0,158,0,0.412532637075718,0.3968668407310705
19,12.626509175099573,9.752654947388976,0.5964603114116334,2.2773939162989625,83,178,189,450,0,189,0,0.42,0.39555555555555555
20,13.59803151910311,10.57859039833441,0.6266764590274667,2.3927646617412366,97,195,229,521,0,229,0,0.43953934740882916,0.3742802303262956
21,14.287851426896141,11.167138499835534,0.64769513580503,2.473017791255569,110,239,251,600,0,251,0,0.41833333333333333,0.3983333333333333
22,14.798218314015747,11.603625652811425,0.6630286655329725,2.5315639956713487,133,275,284,692,0,284,0,0.41040462427745666,0.39739884393063585
23,15.353746955955263,12.07969584070464,0.6795200427878633,2.5945310724627504,141,309,345,795,0,345,0,0.4339622641509434,0.3886792452830189
24,16.619550508084114,13.167937857514408,0.7163724369106939,2.735240213659011,158,352,396,906,0,396,0,0.4370860927152318,0.38852097130242824
25,17.605358609612182,14.018569959756803,0.7444278329888528,2.842360816866528,188,437,392,1017,0,392,0,0.3854473942969518,0.4296951819075713
26,18.576693825914287,14.85916094512892,0.7715634280875285,2.9459694526978377,199,517,419,1135,0,419,0,0.36916299559471366,0.4555066079295154
27,19.691942687061204,15.827072498093735,0.8021428694083426,3.062727319559125,228,592,432,1252,0,432,0,0.3450479233226837,0.4728434504792332
28,20.713516668103225,16.71610911837402,0.8296506235287026,3.1677569262005,230,696,451,1377,0,451,0,0.32752360203340597,0.5054466230936819
29,21.398034901558113,17.313037380717866,0.8478296741366567,3.2371678467035983,251,782,473,1506,0,473,0,0.3140770252324037,0.5192563081009296
30,22.521298461173615,18.294565405513207,0.8772464832502762,3.349486572410145,262,860,523,1645,0,523,0,0.31793313069908813,0.5227963525835866
31,23.56164845683477,19.20573090487706,0.9040583598402744,3.4518591921174107,304,955,537,1796,0,537,0,0.2989977728285078,0.5317371937639198
32,24.602498716633175,20.11922403417172,0.9304909718316218,3.552783710629832,335,1057,554,1946,0,554,0,0.2846865364850976,0.5431654676258992
33,25.338137951790458,20.765933237203704,0.9489481483104562,3.6232565662762886,349,1181,569,2099,0,569,0,0.2710814673654121,0.5626488804192472
34,26.547442099367338,21.830893384092377,0.9789063371325387,3.737642378142419,374,1274,616,2264,0,616,0,0.27208480565371024,0.5627208480565371
35,27.42933132131499,22.60889870283991,1.0004671472306772,3.819965471244404,409,1399,626,2434,0,626,0,0.257189811010682,0.5747740345110929
36,28.545531030759573,23.595195676690498,1.027428092353957,3.9229072617151117,433,1519,659,2611,0,659,0,0.2523937188816545,0.5817694369973191
37,29.495084752841493,24.435568812085336,1.0500882141191987,4.009427726636941,459,1658,680,2797,0,680,0,0.24311762602788703,0.5927779764032892
38,30.423521887631516,25.258380733080404,1.0720104283030611,4.093130726248052,477,1802,701,2980,0,701,0,0.23523489932885905,0.6046979865771812
39,31.47703589227628,26.193332591005245,1.0966176663015457,4.18708563496954,499,1928,755,3182,0,755,0,0.23727215587680703,0.6059082338152105
40,32.494100729953,27.097186063945635,1.1201143646430378,4.276800301364328,533,2078,773,3384,0,773,0,0.22842789598108748,0.6140661938534279
41,33.463899029607106,27.960129615771265,1.142291765135739,4.361477648700094,558,2236,797,3591,0,797,0,0.22194374825953772,0.6226677805625174
42,34.187167223940754,28.604377371040794,1.1586922336207477,4.424097619279219,611,2380,780,3771,0,780,0,0.20684168655529037,0.6311323256430655
43,35.006176498892714,29.334575699797316,1.1771246941518778,4.494476104943534,623,2514,800,3937,0,800,0,0.2032004064008128,0.6385572771145542
44,35.63143125546111,29.892495258644896,1.191099923867509,4.54783607294867,640,2662,792,4094,0,792,0,0.19345383488031265,0.6502198339032731
45,36.00600266161116,30.2269168601638,1.1994329021871935,4.579652899260191,698,2783,737,4218,0,737,0,0.17472735893788524,0.6597913703176861
46,36.44025931241877,30.614799970991776,1.2090575991640928,4.616401742262896,745,2864,717,4326,0,715,2,0.16574202496532595,0.662043458159963
47,36.80184150064385,30.93790979954116,1.2170424285307464,4.646889272571942,802,2954,664,4420,0,658,6,0.1502262443438914,0.6683257918552036
48,37.19766087122059,31.291758138854952,1.2257533972834342,4.680149335082205,896,2997,616,4509,0,600,16,0.13661565757374142,0.6646706586826348
49,37.52193859228027,31.58176164763692,1.2328669130391798,4.707310031604141,965,3077,550,4592,0,517,33,0.11977351916376307,0.6700783972125436
50,37.84913359046037,31.874474021792572,1.240023684063125,4.734635884604659,1036,3133,495,4664,0,431,64,0.10613207547169812,0.6717409948542024
51,38.09511209521698,32.09459459313113,1.2453904249612158,4.755127077124641,1045,3181,487,4713,0,394,93,0.1033312115425419,0.6749416507532358
52,38.13301093607441,32.12851435889297,1.2462162707357762,4.75828030644569,1088,3241,395,4724,0,286,109,0.0836155800169348,0.6860711261642676
53,38.147586665999754,32.14156010480127,1.246533814588366,4.759492746610127,1069,3241,415,4725,0,253,162,0.08783068783068783,0.6859259259259259
54,38.14488308282951,32.139140296404314,1.2464749179373042,4.759267868487887,1064,3249,412,4725,0,225,187,0.0871957671957672,0.6876190476190476
55,38.15505821527671,32.14824745665589,1.2466965725439458,4.760114186076886,1049,3249,427,4725,0,216,211,0.09037037037037036,0.6876190476190476
56,38.15887233145874,32.1516612713052,1.2467796539941391,4.760431406159441,1045,3249,431,4725,0,208,223,0.09121693121693121,0.6876190476190476
57,38.15945057185335,32.152178825012626,1.2467922493443035,4.760479497496428,1060,3249,416,4725,0,193,223,0.08804232804232805,0.6876190476190476
58,38.17391611489189,32.165126300095864,1.2471073200520035,4.761682494744015,1124,3249,352,4725,0,134,218,0.07449735449735449,0.6876190476190476
59,38.131890249199394,32.12751131625497,1.2461918540073351,4.758187078937096,1135,3249,341,4725,0,79,262,0.07216931216931217,0.6876190476190476
60,38.15257521445433,32.14602506047368,1.2466424847884334,4.7599076691921995,1077,3249,399,4725,0,75,324,0.08444444444444445,0.6876190476190476
61,38.13991473552462,32.13469345659675,1.246366680532202,4.758854598395677,1102,3249,374,4725,0,73,301,0.07915343915343916,0.6876190476190476
