Iteration, Rt, Rn, delta p, delta n, nNT, nNe, nPT, nT, nI, nonmut, mut , GF , NF 
0,2.325140769936443,0,0.1930599485139443,0.73713798523506,0,0,25,25,0,7,18,1,0
1,2.811140994078009,0,0.21910272086374785,0.8365740251161282,11,0,25,36,0,10,15,0.6944444444444444,0
2,3.4691348920307297,0,0.25208101752075995,0.962491157806538,12,9,23,44,0,12,11,0.5227272727272727,0.20454545454545456
3,3.9420650606956604,0,0.27449970177376964,1.0480897704089391,5,21,33,59,0,20,13,0.559322033898305,0.3559322033898305
4,4.727824710737473,0,0.3098610079836152,1.1831056668465305,20,21,33,74,0,25,8,0.44594594594594594,0.28378378378378377
5,5.358598439400721,0,0.3368424576270657,1.2861257473033414,16,34,41,91,0,37,4,0.45054945054945056,0.37362637362637363
6,5.883952780084955,0,0.3585134646040688,1.3688695921246263,19,43,48,110,0,45,3,0.43636363636363634,0.39090909090909093
7,6.547822975786533,0,0.38499696404262235,1.4699884081627403,22,52,60,134,0,55,5,0.44776119402985076,0.3880597014925373
8,7.248731235832737,0,0.4120032894931451,1.5731034689738264,35,60,67,162,0,63,4,0.41358024691358025,0.37037037037037035
9,7.898893393607092,0,0.4362849046874821,1.6658150906249318,34,78,83,195,0,83,0,0.4256410256410256,0.4
10,8.54449888678279,0,0.45974507281888005,1.7553902780357238,51,89,92,232,0,92,0,0.39655172413793105,0.38362068965517243
11,9.2334488848278,0,0.4841374198973518,1.8485246941535245,58,108,109,275,0,109,0,0.39636363636363636,0.3927272727272727
12,9.84605749295912,0,0.5053212906848475,1.9294085644330539,71,123,130,324,0,130,0,0.4012345679012346,0.37962962962962965
13,10.714564728463651,0,0.5346165188950355,2.041263072144681,81,150,146,377,0,146,0,0.38726790450928383,0.3978779840848806
14,11.243927359475766,0,0.5520834215678081,2.1079548823498118,84,188,164,436,0,164,0,0.3761467889908257,0.43119266055045874
15,11.916272443305125,0,0.5738780771560528,2.1911708400503835,100,206,194,500,0,194,0,0.388,0.412
16,12.92977680012904,0,0.6059731346150862,2.3137156048939658,123,236,208,567,0,208,0,0.36684303350970016,0.41622574955908287
17,13.777739356817902,0,0.6321856908051986,2.4137999103471226,134,293,210,637,0,210,0,0.32967032967032966,0.4599686028257457
18,14.710705971437571,0,0.6604121103946972,2.5215735124161167,158,335,212,705,0,212,0,0.300709219858156,0.475177304964539
