Iteration, Rt, delta p, delta n, nNT, nNe, nPT, nT, nI, nonmut, mut , GF , NF 
0,2.325140769936442,0.19305994851394429,0.73713798523506,0,0,25,25,91,5,20,1,0
1,2.53011232927542,0.2042455268045068,0.779846556889935,0,0,30,30,91,7,23,1,0
2,2.8466728311250593,0.22094510762520886,0.8436085927507974,0,0,38,38,91,11,27,1,0
3,3.317706256912448,0.24469098716349355,0.9342746782606117,0,0,49,49,91,17,32,1,0
4,3.682403775157662,0.2623092605931368,1.0015444495374317,0,0,59,59,91,23,36,1,0
5,4.081767095896106,0.2809472801813186,1.0727077970559438,0,0,71,71,91,30,41,1,0
6,4.524322428910678,0.3009042928118834,1.1489072998271914,0,0,86,86,91,40,46,1,0
7,4.997866498504006,0.32155044821737633,1.2277380750118003,0,0,106,106,91,54,52,1,0
8,5.7129251271331976,0.35153214163787044,1.3422136317082323,0,0,128,128,91,70,58,1,0
9,6.239802736414837,0.37282634387324115,1.4235187675160115,0,0,152,152,91,89,63,1,0
10,6.879111152575327,0.3978758410939791,1.5191623023588288,0,0,186,186,91,117,69,1,0
11,7.576760037414177,0.42434104394598404,1.6202112587028485,0,0,221,221,91,148,73,1,0
12,8.161111887686605,0.4458877830061056,1.7024806260233118,0,0,260,260,91,181,79,1,0
13,8.926531541795972,0.47334869169138716,1.8073313682762053,0,0,304,304,91,219,85,1,0
14,9.703449242611352,0.5004301233596065,1.9107331982821343,0,0,355,355,91,266,89,1,0
15,10.34422391506286,0.5222253629580954,1.9939513858399995,0,0,406,406,91,314,92,1,0
16,10.993166841050307,0.5438442794121444,2.0764963395736427,15,0,453,468,91,370,83,0.967948717948718,0
17,11.627667106464843,0.5645742656033502,2.1556471959400647,2,15,515,532,91,432,83,0.9680451127819549,0.02819548872180451
18,12.279959193124375,0.5854960474238321,2.2355303628909957,7,17,573,597,91,492,81,0.9597989949748744,0.02847571189279732
19,12.994038535256209,0.6079792893647631,2.321375468483641,7,24,635,666,91,554,81,0.9534534534534534,0.036036036036036036
20,13.6540860096127,0.6283974894704653,2.39933586888723,7,31,699,737,91,618,81,0.9484396200814111,0.04206241519674356
21,14.273256082878254,0.6472539711055973,2.4713333442213714,9,38,764,811,91,684,80,0.9420468557336621,0.0468557336621455
22,14.849441716340086,0.6645578145205685,2.537402564533079,9,47,834,890,91,753,81,0.9370786516853933,0.052808988764044947
23,15.523889538284328,0.6845308851234356,2.613663379562209,22,56,888,966,91,815,73,0.9192546583850931,0.057971014492753624
24,16.22351839240953,0.7049463217232421,2.691613228397834,22,78,956,1056,91,890,66,0.9053030303030303,0.07386363636363637
25,16.943514812906137,0.7256519326599062,2.7706710156105494,14,100,1043,1157,91,978,65,0.9014693171996543,0.08643042350907519
