Iteration, Rt, Rn, delta p, delta n, nNT, nNe, nPT, nT, nI, nonmut, mut , GF , NF 
0,2.325140769936443,1.3949428361874385,0.19305994851394429,0.7371379852350601,0,0,25,25,0,7,18,1,0
1,2.6671730732855905,1.6478543499165221,0.21155671617093866,0.8077620071981293,11,0,20,31,0,6,14,0.6451612903225806,0
2,3.128427266754891,1.994740063230765,0.2352935705427431,0.8983936329813828,6,9,26,41,0,9,17,0.6341463414634146,0.21951219512195122
3,3.686312767758063,2.421564800968099,0.2624948610318793,1.0022531057580848,14,9,28,51,0,12,16,0.5490196078431373,0.17647058823529413
4,4.339537581554196,2.9294757007787964,0.292654352613762,1.1174075281616367,14,20,25,59,0,11,14,0.423728813559322,0.3389830508474576
5,4.680509497932136,3.197520405163413,0.3077901890652072,1.1751989037035184,15,25,31,71,0,14,17,0.43661971830985913,0.352112676056338
6,5.075726802700516,3.5103891619936185,0.32488139712784675,1.2404562435790512,13,34,37,84,0,21,16,0.44047619047619047,0.40476190476190477
7,5.435843605008465,3.797315713948746,0.340071826446357,1.298456064613363,18,34,55,107,0,34,21,0.514018691588785,0.3177570093457944
8,6.194816637754068,4.407115813737093,0.3710322464940892,1.4166685775228862,27,40,68,135,0,43,25,0.5037037037037037,0.2962962962962963
9,6.824894711363935,4.9179423661082575,0.39578256222287683,1.5111697830328024,30,55,84,169,0,58,26,0.4970414201183432,0.3254437869822485
10,7.673671214151358,5.611721856618605,0.42795175345019404,1.6339976040825592,54,65,84,203,0,64,20,0.41379310344827586,0.32019704433497537
11,8.354521519720121,6.172343094791636,0.45290495611723336,1.7292734688112545,56,92,84,232,0,66,18,0.3620689655172414,0.39655172413793105
12,9.104494112685591,6.793601580068961,0.47961920488269794,1.8312733277339368,57,115,92,264,0,78,14,0.3484848484848485,0.4356060606060606
13,9.846488133426911,7.411687286404441,0.5053360248537201,1.9294648221687485,66,136,103,305,0,92,11,0.3377049180327869,0.4459016393442623
14,10.49937282918377,7.958099132372718,0.5274341634890856,2.013839533321963,69,164,112,345,0,102,10,0.32463768115942027,0.4753623188405797
