Iteration, Rt, Rn, delta p, delta n, nNT, nNe, nPT, nT, nI, nonmut, mut , GF , NF 
0,1.2071067811865475,0.6062471926484481,0.12470670705507728,0.4761528814830222,0,0,9,9,0,9,0,1,0
1,1.4485281374238572,0.7700115120882789,0.14082420525832756,0.5376924200772507,0,0,11,11,0,9,2,1,0
2,1.6953035522825153,0.9417614583814737,0.15639552892285769,0.5971465649781839,0,0,16,16,0,13,3,1,0
3,1.966673541021758,1.1347232341989717,0.1726689316047292,0.6592813752180571,0,0,19,19,0,13,6,1,0
4,2.154104080133976,1.2701012437284458,0.18347228680114783,0.7005305496043825,0,0,23,23,0,15,8,1,0
5,2.434151386705909,1.475102101278785,0.19904796489996912,0.7600013205271549,0,0,27,27,0,17,10,1,0
6,2.8797287568480696,1.8069497692679535,0.22265224270530729,0.8501267448748097,0,0,34,34,0,19,15,1,0
7,3.456615253851427,2.2449669899930123,0.25147416797061445,0.9601740958878007,2,0,40,42,0,16,24,0.9523809523809523,0
8,3.637313781668582,2.3837982627696324,0.26016359826204644,0.9933519206369045,2,2,47,51,0,16,31,0.9215686274509803,0.0392156862745098
9,4.224554649301887,2.8395119641526727,0.287461689370592,1.097580995778624,5,3,53,61,0,14,39,0.8688524590163934,0.04918032786885246
10,4.493551271692786,3.050320864015523,0.2995383864990544,1.1436920211782078,3,8,59,70,0,13,46,0.8428571428571429,0.11428571428571428
11,5.036460972507653,3.479206746066061,0.3232037073746698,1.234050519066921,4,10,72,86,0,12,60,0.8372093023255814,0.11627906976744186
12,5.554254240267808,3.892016877976477,0.3449926600982005,1.3172447021931295,2,14,92,108,0,12,80,0.8518518518518519,0.12962962962962962
13,6.163998244355703,4.382231397376211,0.36980066635423414,1.4119661806252577,4,16,113,133,0,11,102,0.849624060150376,0.12030075187969924
14,6.614410672969013,4.7468704112161255,0.38760269583550516,1.4799375659173832,6,20,129,155,0,11,118,0.832258064516129,0.12903225806451613
15,7.26484289418779,5.276795710757759,0.4126135663722703,1.5754336170577592,9,26,154,189,0,8,146,0.8148148148148148,0.13756613756613756
16,8.155651215857189,6.008241241877633,0.4456888625240593,1.701721111455499,7,34,188,229,0,9,179,0.8209606986899564,0.14847161572052403
17,8.73360819473562,6.485908226388604,0.46650376701541835,1.7811962013315972,4,41,224,269,0,9,215,0.8327137546468402,0.1524163568773234
18,9.31922451695292,6.9721382475601965,0.4871311125154715,1.8599551568772548,11,45,250,306,0,9,241,0.8169934640522876,0.14705882352941177
19,10.050418813531834,7.582114837732896,0.512289504411101,1.956014471387841,13,56,275,344,0,7,268,0.7994186046511628,0.16279069767441862
20,10.607750984619338,8.04901929970522,0.5310575195104777,2.0276741654036416,27,68,289,384,0,5,284,0.7526041666666666,0.17708333333333334
21,11.306918757226885,8.636954890127715,0.5541434441149229,2.1158204229842505,18,94,321,433,0,5,316,0.7413394919168591,0.21709006928406466
22,11.716559410948108,8.982491681046708,0.5674480194134984,2.1666197104879026,28,110,342,480,0,3,339,0.7125,0.22916666666666666
23,12.447134017174287,9.600562409302949,0.5907978808789552,2.255773726992374,42,135,354,531,0,0,354,0.6666666666666666,0.2542372881355932
24,13.05448760600574,10.116054851336997,0.6098634019123806,2.328569352756363,42,171,367,580,0,0,367,0.6327586206896552,0.29482758620689653
25,13.728304653937192,10.689609440018105,0.6306725915681135,2.408022622350978,45,205,390,640,0,0,390,0.609375,0.3203125
26,14.23280697649243,11.12011430892053,0.6460305536469974,2.466662113924899,42,239,410,691,0,0,410,0.5933429811866859,0.3458755426917511
27,14.713267487870656,11.530912498153182,0.6604887714507973,2.521866218266681,51,265,419,735,0,0,419,0.5700680272108843,0.36054421768707484
28,15.24147268666699,11.983402085803322,0.6762033322547216,2.5818672686089372,67,297,433,797,0,0,433,0.5432873274780426,0.3726474278544542
